user_id,skill_name,correct,correct_predictions,state_predictions
1,305,0,0.1900982454898737,0.592116938488986
1,305,1,0.3210166217134347,0.9999007553342265
1,306,0,0.252725687466026,0.9902202888939012
1,306,1,0.2520354611703506,0.9872702689267931
1,307,1,0.42000140160484467,0.9999944872457598
1,308,1,0.27971259434680257,0.9992516119367111
1,309,1,0.3617213663679797,0.9999810488988031
2,690,0,0.19009371309882506,0.9794364253072211
2,690,0,0.18932282391761887,0.9754604659004623
2,690,0,0.1884082827868793,0.9707436032173691
2,688,1,0.25893786664277,0.999999215998008
3,604,0,0.43021459820484537,0.9999963349507704
3,604,1,0.4302161728539171,0.9999999950852874
3,603,1,0.5302886810416668,0.9099331714582246
3,607,0,0.2023707510275172,0.9870918734902244
4,605,0,0.3874497161589531,0.999994607659283
4,605,1,0.38745179608127855,0.9999999758684289
4,606,1,0.5108114840995833,0.9999992753520566
4,687,0,0.16851368589024893,0.5176309495155778
